,genus,hyb,species
175,Rosa,,majalis
177,Rosa,,mandenovae
178,Rosa,,mandonii
180,Rosa,,marginata
182,Rosa,,maximowicziana
184,Rosa,,memoryae
185,Rosa,,mesatlantica
186,Rosa,,micrantha
188,Rosa,,minutifolia
190,Rosa,,miyiensis
193,Rosa,,mollis
195,Rosa,,montana
196,Rosa,,morrisonensis
197,Rosa,,moschata
198,Rosa,,moyesii
199,Rosa,,multibracteata
200,Rosa,,multiflora
201,Rosa,,murielae
202,Rosa,,nipponensis
203,Rosa,,nitida
206,Rosa,,nutkana
207,Rosa,,obtegens
211,Rosa,,omeiensis
212,Rosa,,onoei
213,Rosa,,orientalis
214,Rosa,,osmastonii
215,Rosa,,ossethica
216,Rosa,,oxyacantha
217,Rosa,,oxyodon
221,Rosa,,palustris
222,Rosa,,paniculigera
224,Rosa,,pedunculata
225,Rosa,,pendulina
226,Rosa,,persetosa
227,Rosa,,persica
229,Rosa,,phoenicia
230,Rosa,,pimpinellifolia
231,Rosa,,pinetorum
232,Rosa,,pinnatisepala
234,Rosa,,pisocarpa
235,Rosa,,platyacantha
237,Rosa,,popovii
238,Rosa,,pouzinii
240,Rosa,,praelucens
241,Rosa,,praetermissa
242,Rosa,,prattii
243,Rosa,,pricei
244,Rosa,,primula
245,Rosa,,prokhanovii
246,Rosa,,pseudobanksiae
248,Rosa,,pseudoscabriuscula
249,Rosa,,pubicaulis
251,Rosa,,pulverulenta
253,Rosa,,rhaetica
254,Rosa,,roopiae
257,Rosa,,roxburghii
258,Rosa,,rubiginosa
259,Rosa,,rubus
260,Rosa,,rugosa
261,Rosa,,russanovii
264,Rosa,,sambucina
265,Rosa,,saturata
266,Rosa,,saundersiae
268,Rosa,,schergiana
269,Rosa,,schrenkiana
270,Rosa,,sempervirens
271,Rosa,,serafinii
272,Rosa,,sericea
273,Rosa,,sertata
274,Rosa,,setigera
275,Rosa,,setipoda
276,Rosa,,shangchengensis
277,Rosa,,sherardii
278,Rosa,,sikangensis
279,Rosa,,sinobiflora
280,Rosa,,sogdiana
281,Rosa,,soulieana
283,Rosa,,spithamea
284,Rosa,,squarrosa
285,Rosa,,stellata
286,Rosa,,stylosa
287,Rosa,,subbuschiana
291,Rosa,,taiwanensis
292,Rosa,,taronensis
293,Rosa,,teberdensis
294,Rosa,,terscolensis
295,Rosa,,tianschanica
296,Rosa,,tibetica
297,Rosa,,tlaratensis
299,Rosa,,tomentosa
300,Rosa,,transcaucasica
301,Rosa,,transmorrisonensis
302,Rosa,,tschimganica
303,Rosa,,tsinlingensis
304,Rosa,,tunquinensis
305,Rosa,,turcica
306,Rosa,,turkestanica
307,Rosa,,uniflora
308,Rosa,,uniflorella
309,Rosa,,usischensis
310,Rosa,,vassilczenkoi
313,Rosa,,villosa
314,Rosa,,virginiana
318,Rosa,,webbiana
319,Rosa,,weisiensis
320,Rosa,,willmottiae
321,Rosa,,woodsii
322,Rosa,,xanthina
323,Rosa,,zalana
324,Rosa,,zaramagensis
325,Rosa,,zhongdianensis
326,Rosa,,zuvandica
