,Taxon	 Habitat	 Diet	 Body Weight	 BMR
161,Bos taurus	 Terrestrial	 Grass	272000	0.17
162,Kobus ellipsiprymnus	 Terrestrial	 Grass	100000	0.27
163,Connochaetus taurinus	 Terrestrial	 Grass	140000	0.2
164,Oreamnos americanus	 Terrestrial	 Grass	32000	0.26
165,Capra sp.	 Terrestrial	 Grass	36000	0.19
166,Ovis aries	 Terrestrial	 Grass	30000	0.34
167,Ovis canadensis	 Terrestrial	 Grass	65000	0.34
168,Manis crassicaudata	 Terrestrial	 Invertebrates	15910	0.07
169,Manis javanica	 Terrestrial	 Invertebrates	4220	0.26
170,Manis tricuspis	 Terrestrial	 Invertebrates	2730	0.33
171,Sciurus aberti	 Arboreal	 Seeds/Nuts	624	0.69
172,Tamiasciurus hudsonicus	 Arboreal	 Seeds/Nuts	224	1.09
173,Spermophilus citellus	 Terrestrial	 Omnivorous	240	0.95
174,Spermophilus leucums?	 Terrestrial	 Omnivorous	96	1
175,Spermophilus tereticaudus	 Terrestrial	 Omnivorous	129	1
176,Spermophilus undulatus	 Terrestrial	 Omnivorous	750	0.9
177,Tamias alpinus	 Arboreal	 Seeds/Nuts	39	1.48
178,Tamias amoenus	 Arboreal	 Seeds/Nuts	57	1.45
179,Tamias striatus	 Arboreal	 Seeds/Nuts	107	1.25
180,Glaucomys volans	 Arboreal	 Seeds/Nuts	70	1.29
181,Geomys pinetis	 Fossorial	 Roots	203	0.67
182,Perognathus californicus	 Terrestrial	 Seeds/Nuts	22	1
183,Perognathus longimembrus	 Terrestrial	 Seeds/Nuts	8.2	2
184,Microdipodops pallidus	 Terrestrial	 Seeds/Nuts	15	1.5
185,Dipodomys agilis	 Terrestrial	 Seeds/Nuts	61	1.02
186,Dipodomys merriami	 Terrestrial	 Seeds/Nuts	37	1.29
187,Dipodomys microps	 Terrestrial	 Leaves	57	1.17
188,Dipodomys panamintinus	 Terrestrial	 Seeds/Nuts	57	1.2
189,Liomys irroratus	 Terrestrial	 Seeds/Nuts	48	1.1
190,Liomys salvini	 Terrestrial	 Seeds/Nuts	44	1.07
191,Heteromys anomalus	 Arboreal	 Seeds/Nuts	69	1.45
192,Reithrodontomys megaloti	 Terrestrial	 Seeds/Nuts	9	1.94
193,Peromyscus californicus	 Terrestrial	 Seeds/Nuts	47.8	1.02
194,Peromyscus crinitus	 Terrestrial	 Seeds/Nuts	19	1.55
195,Peromyscus eremicus	 Terrestrial	 Seeds/Nuts	20.8	1.55
196,Peromyscus leucopus	 Terrestrial	 Seeds/Nuts	26	2.2
197,Peromyscus maniculatus	 Terrestrial	 Seeds/Nuts	19	1.9
198,Peromyscus megalops	 Terrestrial	 Seeds/Nuts	66	1.4
199,Peromyscus sitkensis	 Terrestrial	 Seeds/Nuts	28	1.65
200,Peromyscus thomasi	 Terrestrial	 Seeds/Nuts	111	1.1
201,Peromyscus truei	 Terrestrial	 Seeds/Nuts	33	1.7
202,Onychomys terridus	 Terrestrial	 Invertebrates	19	1.55
203,Baiomys taylori	 Terrestrial	 Grass	7.3	2
204,Oxymycterus roberti	 Terrestrial	 Invertebrates	84	1.09
205,Sigmodon hispidus	 Terrestrial	 Grass	141	1.03
206,Neotoma cinerea	 Terrestrial	 Leaves	321	0.78
207,Neotoma fuscipes	 Terrestrial	 Leaves	187	0.79
208,Neotoma labigula	 Terrestrial	 Leaves	194	0.73
209,Neotoma lepida	 Terrestrial	 Leaves	120	0.71
210,Cricetus cricetus	 Terrestrial	 Omnivorous	400	0.57
211,Mesocricetus auratus	 Terrestrial	 Omnivorous	98	1.5
212,Spalax leucodon	 Fossorial	 Roots	208	0.77
213,Tachyoryctes splendens	 Fossorial	 Roots	203	0.77
214,Dicrostonyx groenlandicus	 Terrestrial	 Leaves	61	1.55
215,Dicrostonyx torquatus	 Terrestrial	 Leaves	47	1.97
216,Lemmus sibericus	 Terrestrial	 Grass	64	2.47
217,Clethrionomys gapperi	 Terrestrial	 Seeds/Nuts	16.5	3.6
218,Clethrionomys glareolus	 Terrestrial	 Seeds/Nuts	19.8	2.8
219,Clethrionomys rufocanus	 Terrestrial	 Seeds/Nuts	27.5	2
220,Alticola roylei	 Terrestrial	 Grass	53	2.3
221,Arvicola richardsoni	 Terrestrial	 Grass	51	1.74
222,Arvicola terrestris	 Terrestrial	 Grass	97	1.16
223,Ondatra zibethicus	 Terrestrial	 Grass	842	0.82
224,Neofiber alleni	 Terrestrial	 Grass	276	0.85
225,Phenacomys intermedius	 Terrestrial	 Leaves	26	3
226,Microtus arvalis	 Terrestrial	 Grass	20	2.5
227,Microtus californicus	 Terrestrial	 Grass	44	1.55
228,Microtus longicaudus	 Terrestrial	 Grass	27	2.67
229,Microtus mexicanus	 Terrestrial	 Grass	28	1.63
230,Microtus montanus	 Terrestrial	 Grass	31	2.65
231,Microtus nivalis	 Terrestrial	 Grass	35	3.06
232,Microtus ochragaster	 Terrestrial	 Grass	51	1.18
233,Microtus oeconomus	 Terrestrial	 Grass	32	2.5
234,Microtus pennsylvanicus	 Terrestrial	 Grass	38	1.93
235,Microtus pinetorum	 Terrestrial	 Grass	25	1.98
236,Microtus agrestis	 Terrestrial	 Grass	22	2.99
237,Lagurus curtatus	 Terrestrial	 Leaves	29	1.56
238,Meriones unguiculatus	 Terrestrial	 Omnivorous	70	1.4
239,Meriones unguiculatus	 Terrestrial	 Seeds/Nuts	6	6.7
240,Golunda ellioti	 Terrestrial	 Grass	56	1.08
241,Lemniscomys griselda	 Terrestrial	 Grass	51	1.21
242,Rattus norvegicus	 Terrestrial	 Omnivorous	237	1.32
243,Mus musculus	 Terrestrial	 Seeds/Nuts	20.5	3.4
244,Zapus hudsonius	 Terrestrial	 Seeds/Nuts	25	1.5
245,Napaeozapus insignia	 Terrestrial	 Omnivorous	22	1.8
246,Cavia porcellus	 Terrestrial	 Grass	570	0.7
247,Cuniculus paca	 Arboreal	 Fruit	4507	0.44
248,Dasyprocta azarea	 Arboreal	 Seeds/Nuts	3849	0.49
249,Dasyprocta leporina	 Arboreal	 Seeds/Nuts	2687	0.58
250,Chinchilla lanigera	 Terrestrial	 Grass	403	0.7
251,Capromys pilorides	 Arboreal	 Leaves	2630	0.23
252,Myocaster coypus	 Terrestrial	 Grass	4325	0.7
253,Proechimys semispinosus	 Arboreal	 Fruit	498	0.63
254,Heliophobius kapeti?	 Fossorial	 Roots	89	0.87
255,Heterocephalus glaber	 Fossorial	 Roots	39	0.55
256,Ochoton princeps	 Terrestrial	 Grass	109	1.53
257,Lepus alleni	 Terrestrial	 Grass	3362	0.45
258,Lepus americanus	 Terrestrial	 Grass	1581	0.9
259,Lepus californicus	 Terrestrial	 Grass	1989	0.56
260,Lepus timidus	 Terrestrial	 Grass	3004	0.36
261,Sylvilagus audubonii	 Terrestrial	 Grass	702	0.63
262,Elephantulus edwardii	 Terrestrial	 Invertebrates	50	1.09
263,Elephantulus rugescens	 Terrestrial	 Invertebrates	53	1.07
264,Petrodromus tetradactylus	 Terrestrial	 Invertebrates	210	0.61
